id,calm,energetic,happy,sad,name,artists,album,release_date,popularity
5HCyWlXZPP0y6Gqq8TgA20,0.0034755601081997,0.5182560682296753,0.4036467969417572,0.0746216028928756,STAY (with Justin Bieber), The Kid LAROI Justin Bieber,STAY (with Justin Bieber),2021-07-09,99
6bQfNiqyCX7UaQSvVVGo4I,0.004410239867866,0.4794276654720306,0.4003124535083771,0.1158496066927909,Shivers, Ed Sheeran,Shivers,2021-09-10,55
6zSpb8dQRaw0M1dK8PBwQz,0.0029017699416726,0.5301275849342346,0.4029906690120697,0.0639799311757087,Cold Heart - PNAU Remix, Elton John Dua Lipa PNAU,Cold Heart (PNAU Remix),2021-08-13,97
3USxtqRwSYz57Ewm6wWRMp,0.0282652806490659,0.2123847007751464,0.2729125022888183,0.4864374697208404,Heat Waves, Glass Animals,Dreamland,2020-08-07,91
27NovPIUIRrOZoCHxABJwK,0.0025872900150716,0.5288089513778687,0.4039632380008697,0.064640499651432,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),2021-07-23,98
2Xr1dTzJee307rmrkt8c0g,0.0172869805246591,0.3458855748176574,0.3597646057605743,0.2770629823207855,love nwantiti (ah ah ah), CKay,CKay The First,2019-08-30,95
20on25jryn53hWghthWWW3,0.0033022600691765,0.5326260328292847,0.4013970494270324,0.0626746490597724,Do It To It, ACRAZE Cherish,Do It To It,2021-08-20,96
6Uj1ctrBOjOas8xZXGqKk4,0.0030814600177109,0.5325790047645569,0.4016670882701874,0.062672458589077,Woman, Doja Cat,Planet Her,2021-06-25,97
5dXWFMwD7I7zXsInONVl0H,0.0368072502315044,0.1820711195468902,0.2403947860002517,0.540726900100708,I Hate U, SZA,I Hate U,2021-12-03,92
5dPz35akJjPqb17yeqNwqH,0.0051574599929153,0.501416802406311,0.3923149704933166,0.1011107712984085,Ghost, Justin Bieber,Justice,2021-03-19,86
00Blm7zeNqgYLPtW6zg8cj,0.0046116597950458,0.4921153485774994,0.4158830344676971,0.0873899236321449,One Right Now (with The Weeknd), Post Malone The Weeknd,One Right Now,2021-11-05,94
3FeVmId7tL5YN8B7R3imoM,0.0067049302160739,0.4568216502666473,0.4111932516098022,0.1252802908420562,My Universe, Coldplay BTS,My Universe,2021-09-24,95
1r9xUipOqoNwggBpENDsvJ,0.0037824199534952,0.550061047077179,0.3863244652748108,0.0598320513963699,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons JID Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,98
7DF8lvLdV3htIbuTWpc7lR,0.0095176696777343,0.4033791124820709,0.3813556134700775,0.2057476341724395,Girl Of My Dreams (with SUGA of BTS), Juice WRLD SUGA BTS,Fighting Demons,2021-12-10,88
