song_id,mood_vec,song_name,song_artists
53B2XmmjJ9rriW1qciMBeX,[0.00210217 0.5779695  0.37879372 0.04113458],Treat You Better, Shawn Mendes
5m709dCjbKSbA9eBAuyu0P,[0.01534539 0.36926302 0.38733387 0.22805773],Why, Andra
4trx1lgbQ9FtrI5V9Y8C5Y,[0.00184824 0.5851545  0.3747489  0.03824837],I Wish (feat. T.I.), Cher Lloyd T.I.
1j4kHkkpqZRBwE0A4CN4Yv,[0.01729885 0.2907547  0.32955652 0.3623899 ],Dusk Till Dawn - Radio Edit, ZAYN Sia
7F9vK8hNFMml4GtHsaXui6,[0.00881927 0.45071217 0.40313807 0.1373305 ],Back to You (feat. Bebe Rexha & Digital Farm Animals), Louis Tomlinson Bebe Rexha Digital Farm Animals
5yFSF6qQA1rcLsQRnBsZgb,[0.01087177 0.40751368 0.3832688  0.19834577],All Falls Down (feat. Juliander), Alan Walker Noah Cyrus Digital Farm Animals Juliander
26gceVsA1ybT8qsX3aYLEn,[0.0047926  0.48366386 0.39572537 0.11581812],Thunder, Imagine Dragons
2mfUa8bLs2s5N4VaqJZ4lZ,[0.00852869 0.43140793 0.41433984 0.1457236 ],Most Girls, Hailee Steinfeld
2zDt2TfQbxiSPjTVJTgbwz,[0.01964216 0.3008397  0.33306998 0.34644818],Starving, Hailee Steinfeld Grey Zedd
5kofSEc4sxfuss9ukfSw9L,[0.0012174  0.60178936 0.36495277 0.03204044],You're Such A, Hailee Steinfeld
52izjvF7wwveRG1rDJsGWe,[0.00413233 0.5202677  0.39802003 0.07757997],Love Myself, Hailee Steinfeld
16geeCnXrbiomV1IZ8Kudc,[0.00775622 0.44183612 0.4081073  0.14230031],"Back to Life - from ""Bumblebee""", Hailee Steinfeld
7Coulic7di20MlW1bEytkQ,[0.00487862 0.50374085 0.3923795  0.09900109],Dreamer - Compound Version, Charli XCX Starrah RAYE
1YNQscOx6OqBQjxgJVhEeW,[0.007287   0.4450798  0.41291484 0.13471828],"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)", Rita Ora Bebe Rexha Charli XCX Cardi B
1ny60YCHhEsxsJXWLhK7b0,[0.00738431 0.44020015 0.4189544  0.1334611 ],IDGAF, Dua Lipa
7ef4DlsgrMEH11cDZd32M6,[0.00253646 0.5396925  0.39896592 0.05880503],One Kiss (with Dua Lipa), Calvin Harris Dua Lipa
6tHWl8ows5JOZq9Yfaqn3M,[0.00177024 0.5875281  0.37337545 0.03732623],Mine, Bazzi
4VUwkH455At9kENOfzTqmF,[0.02499455 0.26227686 0.3036843  0.40904433],Beautiful (feat. Camila Cabello), Bazzi Camila Cabello
7wrDRQgHlvDnimrRHfQZxt,[0.02790971 0.17874753 0.22722913 0.5661137 ],Psycho (feat. Ty Dolla $ign), Post Malone Ty Dolla $ign
3pIigjAWkzwAonXpJ1fmSF,[0.00311343 0.5286718  0.39649722 0.07171754],Everybody Hates Me, The Chainsmokers
5BgsAQnzQFlunJY5T4k1Pd,[0.01008542 0.39010695 0.3891379  0.21066971],Put Me Back Together (feat. Kiiara), Cheat Codes Kiiara
54VhMO14MfyB9I9IUtjR6p,[0.02834856 0.26183763 0.33252662 0.37728715],The Wave, R3HAB Lia Marie Johnson
0VgkVdmE4gld66l8iyGjgx,[0.00428601 0.56539285 0.39895672 0.0313645 ],Mask Off, Future
3WRFoIQqOML60XfxFbAXTp,[0.00124051 0.58146197 0.3778919  0.03940563],Dirty Sexy Money (feat. Charli XCX & French Montana) - Joe Stone Remix, David Guetta Afrojack Charli XCX French Montana Joe Stone
60zCXVn6QyD4TddmlvnXYw,[0.00742891 0.41965663 0.39025474 0.18265973],Rock Bottom, Hailee Steinfeld DNCE
0m6TrXRLlNFLkOGiW38kDf,[0.00497811 0.48862702 0.4111014  0.0952935 ],Capital Letters, Hailee Steinfeld BloodPop®
1CSk9lJFJt4OdcvOH5iK61,[0.00370931 0.51314765 0.4027915  0.08035158],I Miss You (feat. Julia Michaels) - Cahill Remix, Clean Bandit Julia Michaels Cahill
2BNkTvg1kHAAfGvqh56x5a,[0.03355141 0.17581917 0.2393092  0.5513202 ],Getting Over You, Lauv
5HwnezK198pJCEj1l2Adjy,[0.006188   0.47188342 0.40943927 0.11248937],She Loves Control, Camila Cabello
52okn5MNA47tk87PeZJLEL,[0.00886959 0.41375655 0.377902   0.19947183],Let You Down, NF
1tndktY8ZFXapGYIeHUGR2,[0.00716639 0.42948148 0.38617626 0.17717592],There x2, Slushii Marshmello
6GW4n7EdAV9w8YpAgtJnuc,[0.00217327 0.57739794 0.37316245 0.04726634],Worry No More (feat. Lil Yachty & Santigold), Diplo Lil Yachty Santigold
7gHs73wELdeycvS48JfIos,[0.0140988  0.37057802 0.38616624 0.22915697],Faded, Alan Walker
1snWlbcbgQpJfknoI30DWG,[0.01250728 0.35038278 0.3527968  0.28431317],Darkside, Alan Walker Au/Ra Tomine Harket
2DGa7iaidT5s0qnINlwMjJ,[0.00868889 0.43133143 0.40460497 0.1553747 ],The Spectre, Alan Walker
1jLsirPDkUS2g4gnkYua58,[0.0035991  0.52695656 0.40331787 0.06612645],Ignite, Alan Walker Julie Bergan K-391 SEUNGRI
1ynVxkQjPcDRlJwYkApoNy,[0.0069659  0.45008013 0.40142426 0.1415296 ],Different World (feat. CORSAK), Alan Walker K-391 Sofia Carson CORSAK
7kVDkZkZc8qBUBsF6klUoY,[0.00225021 0.5728568  0.37886837 0.04602456],I Don't Wanna Go, Alan Walker Julie Bergan
4J4zx8xGJpuGndrVc06KaT,[0.01154555 0.42212176 0.38026518 0.18606758],Diamond Heart, Alan Walker Sophia Somajo
0lG6QM1jjbbX5UUn3DPmrZ,[0.01071411 0.398273   0.40326497 0.18774797],Lost Control, Alan Walker Sorana
5GDpODnukzZZIXXjPWOrDQ,[0.05047451 0.2945744  0.3401974  0.31475365],Sky, Alan Walker Alex Skrindo
0lks2Kt9veMOFEAPN0fsqN,[0.00970843 0.40120655 0.38196737 0.20711757],Lily, Alan Walker K-391 Emelie Hollow
6HMT7AzGA5wmn5m2t1BuZR,[0.01061995 0.41647297 0.40137362 0.17153344],Lonely (feat. ISÁK & Omar Noir), Alan Walker Steve Aoki ISÁK Omar Noir
1xUZ6CgfpXspcQuEIOhf2v,[0.01325761 0.38864794 0.39689344 0.20120099],Do It All for You, Alan Walker Trevor Guthrie
4n7jnSxVLd8QioibtTDBDq,[0.0034596  0.5251046  0.39290628 0.07852957],On My Way, Alan Walker Sabrina Carpenter Farruko
3b5Li4QKDVBx1x7fQuu54a,[0.0035918  0.51878214 0.40331647 0.07430957],Tired, Alan Walker Gavin James
0JiVRyTJcJnmlwCZ854K4p,[0.01178236 0.4140864  0.38317615 0.19095509],Alone, Alan Walker
2Fjz5ZC5BvFdCqcnTZ3ilH,[0.00562392 0.47971997 0.39724192 0.11741412],Sing Me to Sleep, Alan Walker
0Kk8NWt2aj8OXeYONMzxrk,[0.00388499 0.5205497  0.40259513 0.07297013],Again (feat. XXXTENTACION) - Alan Walker Remix, Noah Cyrus XXXTENTACION Alan Walker
0kiYDq0MKIhDXLWPgUvrUr,[0.00289266 0.567418   0.37044585 0.05924354],Legends Never Die (Alan Walker Remix), League of Legends Alan Walker Against The Current Mako
71bBFbfn2OBK5QwUJSLS44,[0.00449222 0.49822792 0.4072844  0.08999538],More Than You Know, Axwell /\ Ingrosso
7hvxMYq9JW5W0vFwiu1Zdr,[0.00321149 0.5183677  0.40312192 0.07529886],Dreamer, Axwell /\ Ingrosso
0T3Wt63oKZDsYPV2eL5Rjy,[0.00688001 0.43010232 0.39365658 0.1693611 ],Sun Is Shining, Axwell /\ Ingrosso
6VkrwNYiwqcf1HPNC7EErd,[0.00489103 0.47691053 0.40280026 0.11539821],Something New, Axwell /\ Ingrosso
6nE4EaCEfxNbs12TfIk7ic,[0.00609094 0.4527028  0.39849526 0.14271107],On My Way, Axwell /\ Ingrosso
3w9mof4ZxG3z9huYwHFZ1i,[0.01517778 0.36201695 0.40242636 0.22037894],That's It (feat. Gucci Mane & 2 Chainz), Bebe Rexha Gucci Mane 2 Chainz
2CBtDxdTSz3MP8yUnA4Xkh,[0.00780829 0.4178304  0.40633422 0.16802709],I Got Time, Bebe Rexha
3ZkUWF1MVm3tLgz7dplGpk,[0.00277556 0.539114   0.39215747 0.06595301],The Way I Are (Dance with Somebody) [feat. Lil Wayne], Bebe Rexha Lil Wayne
22BH6K8RlpwNzIINvWS4Jj,[0.0031626  0.54294455 0.39664882 0.05724399],(Not) The One, Bebe Rexha
1t1xXsK199Yte7oJbE7Uoe,[0.01997719 0.30608985 0.33432862 0.33960435],Comfortable (feat. Kranium), Bebe Rexha Kranium
45OALDywAY1JVLqI8eKF9y,[0.0074514  0.45191282 0.4038493  0.13678655],Atmosphere, Bebe Rexha
6DOBk1Pxe7q8YFI9Ozbrb3,[0.0067061  0.46855816 0.4068603  0.11787548],I Got You, Bebe Rexha
1rKqsfuQVUFhROVwcoGJGY,[0.01922904 0.30857614 0.3508273  0.32136747],Small Doses, Bebe Rexha
0xLCa6dp0wmDUhkDGKzDpv,[0.00601019 0.47787112 0.41478375 0.10133492],F.F.F. (feat. G-Eazy), Bebe Rexha G-Eazy
51BroelKJaagm8GOIVFv3f,[0.00646459 0.45878747 0.4113315  0.12341639],Gateway Drug, Bebe Rexha
4ZJPwET9Jrgpkqi4Vo3Yg8,[0.00591582 0.4703888  0.4072411  0.11645427],Bad Bitch (feat. Ty Dolla $ign), Bebe Rexha Ty Dolla $ign
4qULqxfCRhJAXVc75UupQB,[0.00456086 0.4720992  0.41396385 0.10937603],No Broken Hearts (feat. Nicki Minaj), Bebe Rexha Nicki Minaj
41dykwc7XRMk44xgg8hykQ,[0.01485513 0.3581003  0.39563307 0.2314115 ],Ferrari, Bebe Rexha
18oGgOeVdawfYCWndM3Tl6,[0.00902678 0.43420762 0.4013239  0.15544164],2 Souls on Fire (feat. Quavo), Bebe Rexha Quavo
3BT6pJdmvpsjCHsbZg9fzF,[0.0112012  0.40501848 0.40354618 0.18023418],I'm a Mess, Bebe Rexha
0XbAySkD2xUPUudQ1a0kGc,[0.01478829 0.3652842  0.3830757  0.23685177],Steady (feat. Tory Lanez), Bebe Rexha Tory Lanez
0i0wnv9UoFdZ5MfuFGQzMy,[0.0182982  0.34372953 0.3719869  0.26598546],Last Hurrah, Bebe Rexha
6VpQdig9pdpTSIFItgkJV5,[0.00968704 0.401459   0.3835183  0.2053357 ],Never Be the Same, Camila Cabello
4V6MRo0CEAC9MwAm7dkPuL,[0.04557173 0.06764203 0.11302893 0.77375734],Real Friends, Camila Cabello
4xBjsLUSjcx2h7PcRikpQp,[0.01116303 0.372312   0.37792617 0.23859876],OMG (feat. Quavo), Camila Cabello Quavo
6BKeNWeUqxmvQ09Gxd3ZGX,[0.0052065  0.4793162  0.4028091  0.11266819],Know No Better, Major Lazer Travis Scott Camila Cabello Quavo
3NgCzSW98SsqBdpYcnm4kv,[0.01838384 0.34635186 0.3483283  0.28693599],I Have Questions, Camila Cabello
1SJtlNRJDeYHioymcvsqev,[0.00761685 0.46678272 0.39108637 0.13451412],Crying in the Club, Camila Cabello
7IL3UOlcJ6nmcCMwpnlfcA,[0.04051392 0.1263271  0.18452322 0.6486358 ],Something's Gotta Give, Camila Cabello
72jbDTw1piOOj770jWNeaG,[0.01184722 0.38877574 0.39628395 0.20309304],Paris, The Chainsmokers
1KeZgPUr54C8iz3FjqzVoz,[0.00932403 0.41206738 0.40940484 0.16920376],Young, The Chainsmokers
4BiiOzZCrXEzHRLYcYFiD5,[0.02209593 0.27774256 0.3140451  0.38611636],Hope, The Chainsmokers Winona Oak
0B8B8cVRFIG1yznoQe7c9s,[0.00521795 0.4775494  0.4111275  0.10610519],Setting Fires, The Chainsmokers XYLØ
0w75KG0DuLDi6tdHmEMovD,[0.00334037 0.5293314  0.38606143 0.08126681],Don't Let Me Down, The Chainsmokers Daya
65Qe0x9oCbs9pNJc6QBFx7,[0.01625228 0.35608876 0.38706186 0.24059714],All We Know, The Chainsmokers Phoebe Ryan
